store,sku,name,price,weight
default,alfi-iso-drinkbottle-princess,德国直邮ALFI儿童双层不锈钢保湿杯 真空水杯保温瓶350ml 德国直邮 新款 粉公主,18.9,0.9
default,alfi-iso-drinkbottle-bodobuddel,德国直邮ALFI儿童双层不锈钢保湿杯 真空水杯保温瓶350ml 德国直邮 新款 翻斗车,18.9,1
default,alfi-iso-drinkbottle-family,德国直邮ALFI儿童双层不锈钢保湿杯 真空水杯保温瓶350ml 德国直邮 新款 小牛一家,18.9,1
default,alfi-iso-drinkbottle-icebear,德国直邮ALFI儿童双层不锈钢保湿杯 真空水杯保温瓶350ml 德国直邮 新款 北极熊,18.9,1
default,alfi-iso-drinkbottle-wickie,德国直邮ALFI儿童双层不锈钢保湿杯 真空水杯保温瓶350ml 德国直邮 新款 维京海盗,18.9,1
default,alfi-iso-drinkbottle-beemaja,德国直邮ALFI儿童双层不锈钢保湿杯 真空水杯保温瓶350ml 德国直邮 新款 Bienen Maja 小蜜蜂 玛雅,18.9,1
default,alfi-iso-drinkbottle-horse,德国直邮ALFI儿童双层不锈钢保湿杯 真空水杯保温瓶500ml 德国直邮 新款 Pferde Rosa小马驹玫瑰花,18.9,1
default,alfi-iso-drinkbottle-pirate,德国直邮ALFI儿童双层不锈钢保湿杯 真空水杯保温瓶500ml 德国直邮 新款 Pirate 海盗船长 ,18.9,1
default,alfi-elementbottle-04L-cat-dog,德国直邮ALFI儿童运动水壶 学生饮水杯 非保温杯 400ml 德国直邮 新款 猫猫狗狗 ,14.9,1
default,alfi-elementbottle-04L-space-robots,德国直邮ALFI儿童运动水壶 学生饮水杯 非保温杯 400ml 德国直邮 新款 星际机器人,14.9,1
default,alfi-elementbottle-04L-princess,德国直邮ALFI儿童运动水壶 学生饮水杯 非保温杯 400ml 德国直邮 新款小公主,14.9,1
default,alfi-elementbottle-04L-buckyco,德国直邮ALFI儿童运动水壶 学生饮水杯 非保温杯 400ml 德国直邮 新款 巴基球,14.9,1
default,alfi-elementbottle-06L-pirate,德国直邮ALFI儿童运动水壶 学生饮水杯 非保温杯 600ml 德国直邮 新款 海盗船长,17.5,1
default,alfi-elementbottle-04L-horse,德国直邮ALFI儿童运动水壶 学生饮水杯 非保温杯 600ml 德国直邮 新款 玫瑰小马驹,17.5,1
default,alfi-elementbottle-04L-wicky,德国直邮ALFI儿童运动水壶 学生饮水杯 非保温杯 600ml 德国直邮 新款 维京海盗,17.5,1
default,alfi-elementbottle-04L-beemaja,德国直邮ALFI儿童运动水壶 学生饮水杯 非保温杯 600ml 德国直邮 新款 小蜜蜂玛雅,17.5,1
