store,sku,age_range
default,lego-duplo-playhouse-L10505-B638383,2-5 Years
default,lego-duplo-train-starter-set-L10507-B638385,2-5 Years
default,lego-duplo-train-superset-L10508-B638386,2-5 Years
default,lego-duplo-firstconstruction-l10518-b638395,2-5 Years
default,lego-duplo-farmanimal-l10522-B638399,2-5 Years
default,lego-duplo-bigfarm-l10525-b638401,2-5 Years
default,lego-duplo-schoolbus-l10528-b638404,2-5 Years
default,lego-duplo-townpolice-l10532-b638407,2-5 Years
default,lego-duplo-sleepingbeauty-l10542,2-5 Years
default,lego-duplo-Batman－adventure-l10545,2-5 Years
default,lego-duplo-firstcreativeset-l10552,2-5 Years
default,lego-duplo-numbertrain-l10558-B638419,2-5 Years
default,lego-duplo-doublestone-box-l10565,2-5 Years
default,lego-duplo-boothappiness-l10567-B638424,2-5 Years
default,lego-duplo-starterstone-box-l10570-B638427,2-5 Years
default,lego-duplo-pink-girl-stone-box-l10571,2-5 Years
default,lego-duplo-big-stone-box-l10572,2-5 Years
default,lego-duplo-lovely-animal-l10573,2-5 Years
default,lego-duplo-deluxe-stonebox-l10580,2-5 Years
default,lego-duplo-wildanimal-l10582,2-5 Years
default,lego-duplo-angelausflug-l10583,2-5 Years
default,lego-duplo-wildpark-l10584,2-5 Years
default,lego-duplo-10587--cafe--minifigur,2-5 Years
default,lego-duplo-10590--flughafen,2-5 Years
default,lego-duplo-10594-sofia-the-first--koeniglicher-stall,2-5 Years
default,lego-duplo-10595-sofia-the-first--koenigsschloss,2-5 Years
default,lego-duplo-10596-disney-princess-kollektion,2-5 Years
default,lego-duplo-cars-10600--das-rennen,2-5 Years
default,lego-duplo-10615--mein-erster-traktor,1.5-5 Years
default,lego-duplo-10616--mein-erstes-spielhaus,1.5-5 Years
default,lego-duplo-10617--mein-erster-bauernhof,1.5-5 Years
default,lego-duplo-10618-steinebox,1.5-5 Years
default,lego-juniors-10674-große-steinebox-maedchen-ponyhof,4-7 Years
default,lego-steine-und-co-10682-bricks-steinekoffer,4+ Years
default,lego-classic-10692--bausteine-set,4+ Years
default,lego-classic-10693—ergaenzungsset,4+ Years
default,lego-classic-10694-bausteinergänzungsset--pasteltoene,4+ Years
default,lego-classic-10696--mittelgroße-bausteine-box,4+ Years
default,lego-classic-10699----grundplatte--sand,4+ Years
default,lego-classic-10700-grundplatte-gruen,4+ Years
default,lego-classic-10701--grundplatte--grau,4+ Years
default,lego-creator-31003--roter-helikopter,6-12 Years
default,lego-creator-31010--baumhaus,7-12 Years
default,lego-creator-31022--turboquad,7-12 Years
default,lego-creator-31023--gelbe-flitzer,7-12 Years
default,lego-creator-31026—fahrradladen-&-cafee,6+ Years
default,lego-creator-31027--rennwagen--blau,6-12 Years
default,lego-creator-31028--wasserflugzeug,6-12 Years
default,lego-creator-31029--transporthubschrauber,6-12 Years
default,lego-creator-31030--gokart--rot,6-12 Years
default,lego-creator-31031--regenwaldtiere,6-12 Years
default,lego-creator-31032--kreaturen--rot,6-12 Years
default,lego-creator-31033--autotransporter,6-12 Years
default,lego-creator-31034--zukunftsflieger,6-12 Years
default,lego-creator-31035-strandhuette,7-12 Years
default,lego-creator-31036-spielzeug-und-lebensmittelgeschaeft,7-12 Years
default,lego-friends-3933-olivias-ideenwerkstatt,5-12 Years
default,lego-friends-3935-stephanies-mobile-tierrettung,5-12 Years
default,lego-friends-41005--heartlake-schule,6-12 Years
default,lego-friends-41015--yacht,7-12 Years
default,lego-friends-41035-heartlake-saft-smoothiebar,6-12 Years
default,lego-friends-41037--stephanies-strandhaus,6-12 Years
default,lego-friends-41038-grosse-dschungelrettungsbasis,7-12 Years
default,lego-friends-41039-grosser-bauernhof,6-12 Years
