store,websites,attribute_set,type,categories,sku,name,image,small_image,thumbnail,media_gallery,url_key,url_path,country_of_manufacture,status,visibility,tax_class_id,price,weight,description,short_description,qty,is_in_stock,manage_stock,featured,delivery_time,free_shipping,meta_title,meta_description,meta_keyword,brand,age_range,bottle_volume,aptamil_code,size,color,image_label,small_image_label,thumbnail_label,special_from_date,special_price
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,hipp-combiotik-pre-600g-4-pack,"Hipp Anfangsmilch Pre Bio Combiotik von Geburt an, 600g 喜宝有机益生菌 Pre 婴儿配方奶粉 适合刚出生的婴儿 600克/盒 德国直邮 4盒装pre段，包邮包税",/h/i/hipp-bio-combiotik-pre-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-pre-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-pre-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-pre-bio-anfangsmilch.jpg,hipp-combiotik-pre-600g-4-pack,hipp-combiotik-pre-600g-4-pack.html,DE,Enabled,"Catalog, Search",None,96,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,0+ Months,,,,,,,,,
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,hipp-combiotik-1-600g-4-pack,"Hipp Anfangsmilch 1 Bio Combiotik von Geburt an, 600g 喜宝有机益生菌 1段 婴儿配方奶粉 适合刚出生的婴儿 600克/盒 德国直邮 4盒装，包邮包税",/h/i/hipp-bio-combiotik-1-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-1-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-1-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-1-bio-anfangsmilch.jpg,hipp-combiotik-1-600g-4-pack,hipp-combiotik-1-600g-4-pack.html,DE,Enabled,"Catalog, Search",None,96,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,0+ Months,,,,,,,,,
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,Hipp-combiotik-2-600g-4-pack,"Hipp Folgemilch 2 Bio Combiotik nach dem 6. Monat, 600g 喜宝有机益生菌 2段 婴儿配方奶粉 适合6个月以上的婴儿 600克/盒 德国直邮 4盒装，包邮包税",/h/i/hipp-bio-combiotik-2-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-2-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-2-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-2-bio-anfangsmilch.jpg,hipp-combiotik-2-600g-4-pack,hipp-combiotik-2-600g-4-pack.html,DE,Enabled,"Catalog, Search",None,96,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,6+ Months,,,,,,,,,
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,Hipp-combiotik-3-600g-4-pack,"Hipp Folgemilch 3 Bio Combiotik ab dem 10. Monat, 600g 喜宝有机益生菌 3段 婴儿配方奶粉 适合10个月以上的婴儿 600克/盒 德国直邮 4盒装，包邮包税",/h/i/hipp-bio-combiotik-3-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-3-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-3-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-3-bio-anfangsmilch.jpg,hipp-combiotik-3-600g-4-pack,hipp-combiotik-3-600g-4-pack.html,DE,Enabled,"Catalog, Search",None,96,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,10+ Months,,,,,,,,,
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,Hipp-combiotik-1plus-600g-4-pack,"Hipp Kindermilch 1+ Combiotik ab 1 Jahr, 600g 喜宝有机益生菌 1+段 婴儿配方奶粉 适合1岁以上的婴儿 600克/盒 德国直邮 4盒装，包邮包税",/h/i/hipp-bio-combiotik-1plus-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-1plus-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-1plus-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-1plus-bio-anfangsmilch.jpg,hipp-combiotik-1plus-600g-4-pack,hipp-combiotik-1plus-600g-4-pack.html,DE,Enabled,"Catalog, Search",None,88,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,1+ Years,,,,,,,,,
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,Hipp-combiotik-2plus-600g-4-pack,"Hipp Kindermilch 2+ Combiotik ab 2 Jahr, 600g 喜宝有机益生菌 2+段 婴儿配方奶粉 适合2岁以上的儿童 600克/盒 德国直邮 4盒装，包邮包税",/h/i/hipp-bio-combiotik-2plus-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-2plus-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-2plus-bio-anfangsmilch.jpg,/h/i/hipp-bio-combiotik-2plus-bio-anfangsmilch.jpg,hipp-combiotik-2plus-600g-4-pack,hipp-combiotik-2plus-600g-4-pack.html,DE,Enabled,"Catalog, Search",None,88,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,2+ Years,,,,,,,,,
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,Hipp-bio-pre-600g-4-pack,"Hipp Anfangsmilch Pre Bio von Geburt an, 600g 喜宝有机 Pre 婴儿配方奶粉 适合刚出生的婴儿 600克/盒 德国直邮 4盒装，包邮包税",/h/i/hipp-pre-bio-anfangsmilch.jpg,/h/i/hipp-pre-bio-anfangsmilch.jpg,/h/i/hipp-pre-bio-anfangsmilch.jpg,/h/i/hipp-pre-bio-anfangsmilch.jpg,hipp-bio-pre-600g-4-pack,hipp-bio-pre-600g-4-pack.html,DE,Enabled,"Catalog, Search",None,82,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,0+ Months,,,,,,,,,
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,Hipp-bio-1-600g-4-pack,"Hipp Anfangsmilch 1 Bio von Geburt an, 600g 喜宝有机 1段 婴儿配方奶粉 适合刚出生的婴儿 600克/盒 德国直邮 4盒装，包邮包税",/h/i/hipp-folgemilch-1-bio.jpg,/h/i/hipp-folgemilch-1-bio.jpg,/h/i/hipp-folgemilch-1-bio.jpg,/h/i/hipp-folgemilch-1-bio.jpg,hipp-bio-1-600g-4-pack,hipp-bio-1-600g-4-pack.html,DE,Enabled,"Catalog, Search",None,82,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,0+ Months,,,,,,,,,
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,Hipp-bio-2-800g-3-pack,"Hipp Folgemilch 2 Bio nach dem 6. Monat, 800g 喜宝有机 2段 婴儿配方奶粉 适合6个月以上的婴儿 800克/盒 德国直邮 3盒装，包邮包税",/h/i/hipp-folgemilch-2-bio.jpg,/h/i/hipp-folgemilch-2-bio.jpg,/h/i/hipp-folgemilch-2-bio.jpg,/h/i/hipp-folgemilch-2-bio.jpg,hipp-bio-2-800g-3-pack,hipp-bio-2-800g-3-pack.html,DE,Enabled,"Catalog, Search",None,71,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,6+ Months,,,,,,,,,
default,base,Default,simple,[Default Category]/母嬰護理;;[Default Category]/母嬰護理/Hipp 喜宝;;[Default Category]/包郵包稅;;[Default Category]/包郵包稅/Hipp 喜宝,Hipp-bio-3-800g-3-pack,"Hipp Folgemilch 3 Bio ab dem 10. Monat, 800g 喜宝有机 3段 婴儿配方奶粉 适合10个月以上的婴儿 800克/盒 德国直邮 3盒装，包邮包税",/h/i/hipp-folgemilch-3-bio.jpg,/h/i/hipp-folgemilch-3-bio.jpg,/h/i/hipp-folgemilch-3-bio.jpg,/h/i/hipp-folgemilch-3-bio.jpg,hipp-bio-3-800g-3-pack,hipp-bio-3-800g-3-pack.html,DE,Enabled,"Catalog, Search",None,71,3.5,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,10,1,0,No,4-5,1,,,,HIPP,10+ Months,,,,,,,,,
