store,websites,attribute_set,type,sku,description,short_description,free_shipping
default,base,Default,simple,hipp-combiotik-pre-600g-4-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
default,base,Default,simple,hipp-combiotik-1-600g-4-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
default,base,Default,simple,Hipp-combiotik-2-600g-4-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
default,base,Default,simple,Hipp-combiotik-3-600g-4-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
default,base,Default,simple,Hipp-combiotik-1plus-600g-4-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
default,base,Default,simple,Hipp-combiotik-2plus-600g-4-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
default,base,Default,simple,Hipp-bio-pre-600g-4-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
default,base,Default,simple,Hipp-bio-1-600g-4-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
default,base,Default,simple,Hipp-bio-2-800g-3-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
default,base,Default,simple,Hipp-bio-3-800g-3-pack,"<p><img alt="""" src=""{{media url=""wysiwyg/hipp/hipp_bio_combiotik_description.jpg""}}"" /></p>",<p>来自有机农业生产体系，天然的有机奶粉。LCP促进宝宝大脑发育，丰富的维他命及矿物质，全面均衡营养。特别添加益生元，减少腹泻与便秘的发生，激发宝宝自身抵抗力。</p>,1
